Equipo,PTOS,PJ,PG,PE,PP,GF,GC,PJ,PG,PE,PP,GF,GC,PJ,PG,PE,PP,GF,GC
Barcelona,21,7,7,0,0,23,2,4,4,0,0,16,1,3,3,0,0,7,1
Sevilla,16,7,5,1,1,9,3,4,3,1,0,7,1,3,2,0,1,2,2
Valencia CF,15,7,4,3,0,15,7,4,3,1,0,9,2,3,1,2,0,6,5
Atltico de Madrid,15,7,4,3,0,12,4,2,2,0,0,3,0,5,2,3,0,9,4
Real Madrid,14,7,4,2,1,13,6,4,1,2,1,5,4,3,3,0,0,8,2
Real Betis,13,7,4,1,2,14,11,3,3,0,0,8,2,4,1,1,2,6,9
Legans,11,7,3,2,2,5,3,4,1,2,1,2,2,3,2,0,1,3,1
Real Sociedad,10,7,3,1,3,17,17,4,1,1,2,10,10,3,2,0,1,7,7
Villarreal,10,7,3,1,3,9,9,3,2,1,0,6,1,4,1,0,3,3,8
Levante,9,7,2,3,2,8,10,5,2,2,1,7,5,2,0,1,1,1,5
Celta de Vigo,8,7,2,2,3,13,11,4,1,2,1,7,7,3,1,0,2,6,4
Getafe,8,7,2,2,3,9,7,3,1,0,2,5,3,4,1,2,1,4,4
Athletic Club,8,7,2,2,3,9,9,3,1,1,1,3,2,4,1,1,2,6,7
Espanyol,8,7,2,2,3,7,11,3,2,0,1,6,3,4,0,2,2,1,8
Deportivo de La Corua,7,7,2,1,4,9,16,4,2,0,2,5,8,3,0,1,2,4,8
Girona,6,7,1,3,3,6,11,4,1,1,2,3,6,3,0,2,1,3,5
Las Palmas,6,7,2,0,5,5,13,3,1,0,2,2,7,4,1,0,3,3,6
Eibar,6,7,2,0,5,3,17,3,1,0,2,1,5,4,1,0,3,2,12
Alavs,3,7,1,0,6,3,10,3,0,0,3,1,7,4,1,0,3,2,3
Mlaga,1,7,0,1,6,4,16,3,0,1,2,4,7,4,0,0,4,0,9
