Nombre,lt.,% Dif.,Mx.,Mn.,Volumen,Efectivo (miles ),Fecha,Hora
ABERTIS,"17,4300","0,29","17,4300","17,3300",3.301.735,"57.378,45",12/10/2017,Cierre
ACCIONA,"68,1800","-0,93","69,1000","67,8400",104.542,"7.142,82",12/10/2017,Cierre
ACERINOX,"12,1300","-0,29","12,2300","12,0500",749.389,"9.081,53",12/10/2017,Cierre
ACS,"31,0850","0,05","31,5250","30,9900",804.498,"25.049,08",12/10/2017,Cierre
AENA,"151,8000","0,43","152,4000","150,9500",109.590,"16.634,26",12/10/2017,Cierre
AMADEUS,"57,4400","1,18","57,4500","56,7600",487.877,"27.969,71",12/10/2017,Cierre
ARCELORMIT.,"22,9450","2,64","22,9450","22,3550",313.171,"7.109,86",12/10/2017,Cierre
BA.SABADELL,"1,6740","-0,59","1,7010","1,6670",14.871.787,"25.023,15",12/10/2017,Cierre
BA.SANTANDER,"5,6300","-0,28","5,6700","5,6050",26.857.718,"151.204,50",12/10/2017,Cierre
BANKIA,"4,0370","-0,25","4,0630","4,0080",3.306.282,"13.335,19",12/10/2017,Cierre
BANKINTER,"7,9380","-0,04","7,9620","7,8960",1.080.187,"8.569,00",12/10/2017,Cierre
BBVA,"7,3660","0,01","7,3800","7,3080",46.076.715,"338.477,06",12/10/2017,Cierre
CAIXABANK,"4,0730","0,32","4,0850","4,0420",9.759.974,"39.694,79",12/10/2017,Cierre
CELLNEX,"20,3000","2,47","20,3000","19,7150",776.577,"15.621,86",12/10/2017,Cierre
DIA,"4,3810","-1,55","4,4350","4,3800",5.472.698,"24.033,29",12/10/2017,Cierre
ENAGAS,"24,2850","0,06","24,3050","24,1600",814.892,"19.769,90",12/10/2017,Cierre
ENDESA,"19,5200","0,46","19,5200","19,2850",1.279.744,"24.908,96",12/10/2017,Cierre
FERROVIAL,"18,6350","0,11","18,7300","18,5400",1.237.929,"23.078,04",12/10/2017,Cierre
GAS NATURAL,"18,5600","-0,72","18,7400","18,4750",1.516.183,"28.134,54",12/10/2017,Cierre
GRIFOLS CL.A,"24,2500","0,12","24,4550","24,1550",416.206,"10.099,05",12/10/2017,Cierre
IAG,"6,9770","0,29","7,0190","6,9230",2.070.024,"14.451,02",12/10/2017,Cierre
IBERDROLA,"6,7600","0,31","6,7690","6,7310",15.136.462,"102.179,38",12/10/2017,Cierre
INDITEX,"31,4000","0,00","31,5300","31,3000",5.053.424,"158.921,74",12/10/2017,Cierre
INDRA A,"13,2600","0,34","13,3300","13,2150",391.129,"5.189,55",12/10/2017,Cierre
INM.COLONIAL,"8,0400","0,84","8,1020","7,9710",1.668.216,"13.439,77",12/10/2017,Cierre
MAPFRE,"2,6700","-2,20","2,7370","2,6700",7.180.544,"19.271,65",12/10/2017,Cierre
MEDIASET,"9,4670","-0,68","9,5720","9,4240",795.171,"7.537,67",12/10/2017,Cierre
MELIA HOTELS,"12,3000","-0,49","12,4150","12,2950",552.722,"6.815,27",12/10/2017,Cierre
MERLIN,"11,2200","0,27","11,2350","11,1650",1.753.444,"19.645,69",12/10/2017,Cierre
R.E.C.,"18,2100","-0,25","18,2850","18,1550",1.046.210,"19.058,12",12/10/2017,Cierre
REPSOL,"15,3500","-0,32","15,4600","15,2700",3.158.676,"48.466,81",12/10/2017,Cierre
SIEMENS GAME,"12,5550","-1,65","12,8500","12,5100",2.775.501,"34.996,45",12/10/2017,Cierre
TEC.REUNIDAS,"25,5100","-0,60","25,6700","25,2200",513.371,"13.073,60",12/10/2017,Cierre
TELEFONICA,"9,1640","-0,61","9,2300","9,1310",11.630.526,"106.761,33",12/10/2017,Cierre
VISCOFAN,"51,0200","-0,39","51,7300","51,0200",90.800,"4.645,09",12/10/2017,Cierre
