Nombre,lt.,% Dif.,Mx.,Mn.,Volumen,Efectivo (miles ),Fecha,Hora
ABERTIS,"18,7800","-0,32","18,9250","18,6550",12.929.526,"242.555,34",19/10/2017,Cierre
ACCIONA,"68,5400","-1,34","69,7200","68,2600",152.649,"10.497,63",19/10/2017,Cierre
ACERINOX,"12,1900","-1,10","12,3600","12,1150",663.238,"8.085,75",19/10/2017,Cierre
ACS,"33,4500","1,19","33,6200","32,5550",1.888.843,"62.800,16",19/10/2017,Cierre
AENA,"153,1500","-0,36","153,4000","151,3500",166.934,"25.506,46",19/10/2017,Cierre
AMADEUS,"57,0600","-0,14","57,0600","56,5300",658.491,"37.484,56",19/10/2017,Cierre
ARCELORMIT.,"24,6600","0,96","24,6850","24,0400",769.727,"18.716,10",19/10/2017,Cierre
BA.SABADELL,"1,6420","-1,68","1,6730","1,6300",23.219.744,"38.248,73",19/10/2017,Cierre
BA.SANTANDER,"5,5710","-1,21","5,6480","5,5440",42.805.452,"238.584,28",19/10/2017,Cierre
BANKIA,"4,0390","-0,76","4,0700","4,0080",6.342.365,"25.611,40",19/10/2017,Cierre
BANKINTER,"8,0300","-0,24","8,0540","7,9560",2.535.486,"20.350,45",19/10/2017,Cierre
BBVA,"7,2200","-0,76","7,2980","7,1760",30.710.478,"222.039,42",19/10/2017,Cierre
CAIXABANK,"3,8860","-1,50","3,9720","3,8680",18.413.450,"71.794,77",19/10/2017,Cierre
CELLNEX,"20,5500","1,73","20,5900","20,1050",752.933,"15.369,02",19/10/2017,Cierre
DIA,"4,3750","-0,50","4,4390","4,3080",6.044.227,"26.425,17",19/10/2017,Cierre
ENAGAS,"24,1300","0,29","24,2500","24,0000",1.120.407,"27.033,70",19/10/2017,Cierre
ENDESA,"19,1000","-0,57","19,2100","19,0100",1.398.876,"26.731,95",19/10/2017,Cierre
FERROVIAL,"18,7500","-1,21","18,9750","18,6150",1.304.521,"24.450,76",19/10/2017,Cierre
GAS NATURAL,"18,4500","-0,51","18,6200","18,4200",1.706.641,"31.552,80",19/10/2017,Cierre
GRIFOLS CL.A,"24,2850","-1,14","24,5100","24,0750",423.243,"10.262,17",19/10/2017,Cierre
IAG,"7,2570","-0,70","7,3150","7,1820",2.591.710,"18.757,15",19/10/2017,Cierre
IBERDROLA,"6,6840","0,27","6,7100","6,6230",12.983.509,"86.765,96",19/10/2017,Cierre
INDITEX,"30,8950","-1,17","31,3500","30,8950",3.409.561,"105.891,30",19/10/2017,Cierre
INDRA A,"13,0450","-0,87","13,1700","13,0000",350.622,"4.580,00",19/10/2017,Cierre
INM.COLONIAL,"7,8300","-2,36","7,9810","7,7810",1.595.858,"12.506,35",19/10/2017,Cierre
MAPFRE,"2,6640","0,34","2,6890","2,6500",5.398.125,"14.395,13",19/10/2017,Cierre
MEDIASET,"9,5490","-0,82","9,9500","9,4700",1.904.517,"18.281,94",19/10/2017,Cierre
MELIA HOTELS,"11,8450","-2,87","12,2450","11,8350",610.183,"7.315,80",19/10/2017,Cierre
MERLIN,"10,9600","-1,17","11,0800","10,9000",2.036.794,"22.365,14",19/10/2017,Cierre
R.E.C.,"18,1850","0,50","18,2350","18,0250",1.007.131,"18.291,56",19/10/2017,Cierre
REPSOL,"15,2850","0,00","15,3250","15,0950",4.011.076,"61.121,24",19/10/2017,Cierre
SIEMENS GAME,"11,7850","-0,46","12,0100","11,6500",2.989.863,"35.448,63",19/10/2017,Cierre
TEC.REUNIDAS,"25,7300","-0,10","25,8300","25,4800",366.195,"9.398,87",19/10/2017,Cierre
TELEFONICA,"8,8260","-1,56","8,9600","8,8140",19.175.446,"169.476,04",19/10/2017,Cierre
VISCOFAN,"51,0000","-0,95","51,3500","50,7600",113.503,"5.784,37",19/10/2017,Cierre
